_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
119000,in roots/stems,Polygonaceae,Eschscholzia,californica,,119000,Edwards,Sesiidae,Synanthedon,polygoni,,,USA
120367,,Vitaceae,Ampelopsis,,,120367,Clemens,Sphingidae,Deidamia,inscriptum,,,Nearctic
119759,,Betulaceae,Alnus,,,119759,Smith,Sphingidae,Amorpha,juglandis,,Y,Nearctic
118960,,Pinaceae,Pinus,strobus,,118960,Kellicott,Sesiidae,Synanthedon,pini,,,Canada
118912,,Pinaceae,Picea,abies,,118912,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
119020,in damaged bark,Rosaceae,Pyrus,,,119020,Harris,Sesiidae,Synanthedon,pyri,,,USA
120369,,Ericaceae,Oxydendrum,arboreum,,120369,Clemens,Sphingidae,Deidamia,inscriptum,,,Nearctic
119765,,Juglandaceae,Carya,alba,,119765,Smith,Sphingidae,Amorpha,juglandis,,,USA
118962,,Pinaceae,Pinus,strobus,,118962,Kellicott,Sesiidae,Synanthedon,pini,,,USA
118914,,Pinaceae,Picea,glauca,,118914,Edwards,Sesiidae,Synanthedon,novaroensis,,,Canada
119021,on stems/trunks,Rosaceae,Pyrus,,,119021,Harris,Sesiidae,Synanthedon,pyri,,,Nearctic
120374,,Vitaceae,Parthenocissus,tricuspidata,,120374,Clemens,Sphingidae,Deidamia,inscriptum,,,USA
119771,,Corylaceae,Corylus,,,119771,Smith,Sphingidae,Amorpha,juglandis,,Y,Nearctic
118963,,Pinaceae,Pinus,sylvestris,,118963,Kellicott,Sesiidae,Synanthedon,pini,,,Canada
118918,,Pinaceae,Pinus,monticola,,118918,Edwards,Sesiidae,Synanthedon,novaroensis,,,Canada
119026,in branches/trunk,Fagaceae,Quercus,acuta,,119026,Matsumura,Sesiidae,Synanthedon,quercus,,,Japan
120376,,Vitaceae,Vitis,,,120376,Clemens,Sphingidae,Deidamia,inscriptum,,,USA
119789,,Rosaceae,Prunus,pensylvanica,,119789,Smith,Sphingidae,Amorpha,juglandis,,,Nearctic
118968,in,Pinaceae,Pinus,sylvestris,,118968,Kellicott,Sesiidae,Synanthedon,pini,,,Nearctic
118920,,Pinaceae,Pseudotsuga,menziesii,,118920,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
119031,in trunks,Fagaceae,Castanea,crenata,,119031,Matsumura,Sesiidae,Synanthedon,quercus,,,Japan
120377,,Vitaceae,Vitis,vinifera,,120377,Clemens,Sphingidae,Deidamia,inscriptum,,Y,Nearctic
119802,,Onagraceae,Epilobium,coloratum,,119802,Clark,Sphingidae,Amphion,floridensis,,,USA
118981,,Salicaceae,Salix,hastata,,118981,Staudinger,Sesiidae,Synanthedon,polaris,,,Finland
118922,in stems,Pinaceae,Pinus,ponderosa,,118922,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
119032,in trunks,Fagaceae,Quercus,,,119032,Matsumura,Sesiidae,Synanthedon,quercus,,,Japan
120382,,Vitaceae,Parthenocissus,,,120382,Harris,Sphingidae,Deidamia,inscriptum,,,Nearctic
119803,,Onagraceae,Fuchsia,,,119803,Clark,Sphingidae,Amphion,floridensis,,,Nearctic
